sx sy gx gy d
-20.3527 -13.1681 -16.8618 13.8594 31.08
14.8235 -13.8496 -20.1887 -3.87179 58.32
4.74891 11.8142 2.40061 -13.7899 56.64
18.4664 9.81196 18.2376 11.7559 1.56
-20.5085 -6.13263 3.95074 -11.3142 102.18
-18.3101 1.0873 12.1679 11.0687 45.06
11.8864 -12.4012 -0.339672 -6.48306 59.28
15.8772 -11.1474 20.3061 3.63198 66.24
21.9911 -6.1166 -16.1054 4.02626 70.38
9.22973 12.401 -2.47833 -6.9375 25.02
-11.1942 -2.22622 20.6417 -9.52277 107.46
11.9213 3.65616 7.17858 -2.02302 77.88
11.1574 12.8876 -21.206 -8.28916 159.96
-4.9675 -12.1364 17.8336 9.76081 78.6
-19.3394 -5.61418 -5.37814 -2.48264 43.14
20.7322 12.0633 2.2631 3.61879 88.8
15.4945 12.8722 16.918 9.65002 3.12
13.0669 0.858919 14.625 4.53296 3.6
-19.7566 -6.91419 -12.1194 -4.80054 25.14
8.55145 -13.382 21.7513 -8.83698 13.56
-2.98368 -13.0269 -11.0421 -0.515509 16.86
18.0869 10.8685 18.3181 13.3577 2.1
-18.7258 -12.8775 21.0216 0.389938 134.88
-21.8914 13.3908 13.9347 11.4408 35.52
5.27121 -12.0768 20.9451 -5.28326 60.06
15.6025 9.98733 -21.4545 -7.61202 194.4
5.2206 -11.3134 -21.9334 0.651709 59.28
-11.0135 -8.27885 0.0218581 -13.2902 82.38
10.5203 4.90334 2.91608 2.52081 27.12
-1.81238 1.51672 8.90056 12.3189 51.66
-3.42695 -6.61365 20.2353 -2.34823 68.76
-9.43359 -12.8986 -20.1039 -6.82434 13.14
7.15618 -9.501 1.40713 -11.0439 5.52
-21.8611 -2.55376 -21.1668 -10.8237 7.86
2.66342 -11.1901 19.7509 6.57757 103.8
17.1017 9.78251 -12.7564 -2.71981 164.28
8.86654 -10.1562 -11.247 -0.0635601 29.16
6.49445 -11.5623 -4.68834 -13.7262 10.98
-21.8931 -11.4891 -20.93 -0.606271 10.5
